Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,Grand total
Saga Services Limited,SAGA PLC,no,01-08-2020 to 31-01-2021,,,,41.0%,,41.0%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,01-09-2020 to 28-02-2021,22.9%,,93.6%,91.8%,,30.0%
Santander Cards UK Limited,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,73.9%,,,5.2%,,5.3%
Santander Consumer (UK) Plc,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,,,,9.1%,,9.1%
Santander ISA Managers Limited,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,,,,,83.5%,83.5%
Santander UK Plc,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,27.2%,34.3%,43.7%,35.9%,62.4%,29.7%
Scottish Equitable Plc,AEGON NV,no,01-01-2021 to 30-06-2021,,59.7%,,61.4%,68.3%,60.1%
Scottish Friendly Assurance Society Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,95.3%,83.3%,95.4%,94.5%,94.9%
Scottish Widows Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,46.3%,,52.5%,31.0%,44.6%
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,,34.7%,34.7%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,01-01-2021 to 30-06-2021,67.0%,,78.5%,100.0%,,70.3%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,01-01-2021 to 30-06-2021,85.6%,,89.8%,,,86.8%
Shop Direct Finance Company Limited,THE VERY GROUP,no,01-01-2021 to 30-06-2021,,,,0.8%,,0.8%
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,78.1%,,78.1%
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,46.2%,88.2%,49.0%,52.5%,89.8%,51.7%
Society of Lloyd's,SOCIETY OF LLOYD'S,no,01-01-2021 to 30-06-2021,,,,59.5%,,59.5%
Somerset Bridge Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,77.1%,,77.1%
Soteria Insurance Limited,CO-OPERATIVE GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,41.8%,,41.8%
SquareTrade Limited,THE ALLSTATE CORP.,no,01-01-2021 to 30-06-2021,,,,20.0%,,20.0%
St Andrew's Insurance Plc,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,57.1%,,57.1%
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,01-01-2021 to 30-06-2021,,87.9%,,94.4%,84.5%,87.1%
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE GROUP,no,01-01-2021 to 30-06-2021,50.0%,52.8%,47.6%,59.6%,47.3%,50.6%
Standard Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2021 to 30-06-2021,,51.4%,87.0%,70.4%,57.7%,52.6%
Starling Bank Limited,NO GROUP,no,01-10-2020 to 31-03-2021,53.3%,,,,,53.3%
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,01-01-2021 to 30-06-2021,,,,22.7%,,22.7%
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,01-10-2020 to 31-03-2021,,,,0.0%,,0.0%
Suffolk Life Pensions Limited,CURTIS BANKS GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,01-01-2021 to 30-06-2021,,84.3%,,89.4%,86.4%,86.4%
Tandem Bank Limited,NO GROUP,no,01-01-2021 to 30-06-2021,94.0%,,,,,94.0%
Target Servicing Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,71.0%,,,71.0%
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,no,01-01-2021 to 30-06-2021,,,,54.5%,,54.5%
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,01-10-2020 to 31-03-2021,,,,78.6%,,78.6%
Tesco Personal Finance PLC,TESCO PLC,no,01-09-2020 to 28-02-2021,59.1%,,,22.5%,,50.4%
Tesco Underwriting Limited,AGEAS SA-NV,no,01-01-2021 to 30-06-2021,,,,49.6%,,49.6%
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,01-01-2021 to 30-06-2021,28.6%,33.3%,48.2%,70.0%,63.6%,31.3%
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,36.6%,,,36.6%
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,01-10-2020 to 31-03-2021,,,89.4%,,,89.4%
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,01-01-2021 to 30-06-2021,,94.7%,,67.1%,94.3%,67.9%
The Prudential Assurance Company Limited,PRUDENTIAL PLC,yes,01-01-2021 to 30-06-2021,,61.7%,66.7%,73.5%,65.2%,62.8%
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,44.9%,71.4%,57.2%,33.1%,68.4%,45.3%
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,01-01-2021 to 30-06-2021,,58.5%,,47.3%,56.2%,54.6%
The Share Centre Limited,SHARE PLC,no,01-01-2021 to 30-06-2021,,87.5%,,,82.0%,82.2%
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,01-01-2021 to 30-06-2021,,,92.1%,,,92.1%
Towergate Underwriting Group Limited,ARDONAGH GROUP,no,01-01-2021 to 30-06-2021,,,,22.6%,,22.6%
Trading 212 UK Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
TSB Bank plc,BANCO DE SABADELL SA,no,01-01-2021 to 30-06-2021,21.1%,,36.7%,27.6%,,22.1%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,01-01-2021 to 30-06-2021,,,,37.3%,,37.3%
UK General Insurance Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,67.1%,,67.1%
Union Reiseversicherung AG,NO GROUP,no,01-10-2020 to 31-03-2021,,,,44.4%,,44.4%
Unum Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,83.4%,,83.4%
"Vanguard Asset Management, Ltd",VANGUARD ASSET MANAGEMENT LTD,no,01-01-2021 to 30-06-2021,,60.1%,,,61.1%,60.8%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,01-01-2021 to 30-06-2021,65.2%,,,,,65.2%
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,yes,01-01-2021 to 30-06-2021,,81.8%,,42.2%,88.9%,42.3%
Volkswagen Financial Services (UK) Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,7.7%,,7.7%
Xbridge Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,86.5%,,86.5%
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,48.7%,100.0%,67.1%,76.5%,100.0%,54.7%
Zopa Bank Limited,NO GROUP,yes,01-01-2021 to 30-06-2021,30.8%,,,,39.0%,32.8%
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,01-01-2021 to 30-06-2021,,70.0%,66.7%,62.1%,68.1%,64.9%
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,no,01-01-2021 to 30-06-2021,,,,55.2%,,55.2%
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,no,01-07-2020 to 31-12-2020,36.4%,,63.6%,20.0%,,62.9%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,,56.4%,,56.4%
Acromas Insurance Company Limited,SAGA PLC,no,01-02-2020 to 31-07-2020,,,,51.6%,,51.6%
Action 365 Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,,65.4%,,65.4%
Adrian Flux Insurance Services Group,NO GROUP,no,01-03-2020 to 31-08-2020,,,,8.3%,,8.3%
Ageas Insurance Limited,AGEAS SA-NV,no,01-07-2020 to 31-12-2020,,,,56.6%,,56.6%
Ageas Retail Limited,AGEAS SA-NV,no,01-07-2020 to 31-12-2020,,,,48.6%,,48.6%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,01-07-2020 to 31-12-2020,72.8%,100.0%,68.1%,100.0%,100.0%,73.3%
Aioi Nissay Dowa Insurance UK Limited,MS & AD INSURANCE GROUP,yes,01-07-2020 to 31-12-2020,,,,68.7%,,68.7%
AJ Bell Securities Limited,AJ BELL PLC,no,01-04-2020 to 30-09-2020,,73.7%,,,48.0%,54.3%
Al Rayan Bank PLC,NO GROUP,no,01-07-2020 to 31-12-2020,72.7%,,62.0%,,,71.2%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,01-07-2020 to 31-12-2020,51.3%,,96.3%,,,73.4%
Allianz Insurance Plc,ALLIANZ SE,no,01-07-2020 to 31-12-2020,,,,54.2%,,54.2%
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,01-07-2020 to 31-12-2020,83.5%,,,48.0%,,82.7%
American International Group UK Limited,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",yes,01-06-2020 to 30-11-2020,,,,43.8%,,43.8%
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,no,01-07-2020 to 31-12-2020,,,,83.5%,,83.5%
Animal Friends Insurance Services Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,,96.4%,,96.4%
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J. GALLAGHER & CO.,yes,01-07-2020 to 31-12-2020,,,,47.8%,,47.8%
Assurant General Insurance Limited,ASSURANT INC,no,01-07-2020 to 31-12-2020,,,,33.3%,,33.3%
Astrenska Insurance Limited,PARMINDER LIMITED,no,01-05-2020 to 31-10-2020,,,,39.1%,,39.1%
Asurion Europe Limited,NEW ASURION CORP,no,01-07-2020 to 31-12-2020,,,,73.5%,,73.5%
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,no,01-07-2020 to 31-12-2020,,,,59.5%,,59.5%
Atom Bank PLC,ATOM BANK PLC,no,01-04-2020 to 30-09-2020,28.7%,,38.9%,,,31.0%
Automobile Association Insurance Services Limited,AA PLC,no,01-02-2020 to 31-07-2020,,,,54.7%,,54.7%
Aviva Insurance Limited,AVIVA PLC,no,01-07-2020 to 31-12-2020,,,,25.9%,,25.9%
Aviva Life Services UK Limited,AVIVA PLC,no,01-07-2020 to 31-12-2020,,55.8%,34.6%,45.5%,48.1%,51.5%
Aviva UK Digital Limited,AVIVA PLC,no,01-07-2020 to 31-12-2020,,,,29.1%,,29.1%
AWP Assistance UK Ltd,ALLIANZ SE,no,01-07-2020 to 31-12-2020,,,,57.0%,,57.0%
AWP P&C SA,ALLIANZ SE,no,01-07-2020 to 31-12-2020,,,,61.7%,,61.7%
AXA France IARD,NO GROUP,no,01-07-2020 to 31-12-2020,,,,5.6%,,5.6%
AXA Insurance UK Plc,AXA SA,no,01-07-2020 to 31-12-2020,,,,28.6%,,28.6%
AXA PPP Healthcare Limited,AXA SA,no,01-07-2020 to 31-12-2020,,,,18.0%,,18.0%
B & C E Financial Services Limited,B&CE HOLDINGS LIMITED,no,01-04-2020 to 30-09-2020,,55.6%,,,,55.6%
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC,yes,01-07-2020 to 31-12-2020,65.6%,,77.7%,54.9%,100.0%,66.3%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,01-07-2020 to 31-12-2020,37.2%,44.4%,32.2%,9.4%,83.8%,23.8%
Barclays Bank Plc,BARCLAYS PLC,no,01-07-2020 to 31-12-2020,18.1%,,83.3%,100.0%,34.9%,18.3%
Barclays Bank UK PLC,BARCLAYS PLC,yes,01-07-2020 to 31-12-2020,39.2%,48.6%,47.3%,2.7%,39.2%,22.7%
Bennetts Motorcycling Services Limited,SAGA PLC,no,01-07-2020 to 31-12-2020,,,,35.0%,,35.0%
BISL Limited,BGL GROUP,no,01-07-2020 to 31-12-2020,,,,60.4%,,60.4%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,01-07-2020 to 31-12-2020,,,75.0%,1.4%,,1.4%
BMW Financial Services(GB) Limited,BMW AG,no,01-07-2020 to 31-12-2020,,,,0.0%,,0.0%
Bollington Insurance Brokers Limited,BOLLINGTON WILSON GROUP LIMITED,no,01-07-2020 to 31-12-2020,,,,26.5%,,26.5%
Bought By Many Ltd,NO GROUP,no,01-04-2020 to 30-09-2020,,,,81.6%,,81.6%
Bradford & Bingley Plc,UK ASSET RESOLUTION LIMITED,yes,01-04-2020 to 30-09-2020,,0.0%,93.6%,1.4%,12.4%,14.2%
Brightside Insurance Services Limited,"ANACAP FINANCIAL PARTNERS II, L.P.",no,01-07-2020 to 31-12-2020,,,,76.8%,,76.8%
British Gas Services Limited,CENTRICA PLC,yes,01-07-2020 to 31-12-2020,,,,16.5%,,16.5%
BUPA Insurance Services Limited,THE BRITISH UNITED PROVIDENT ASSOCIATION LTD,yes,01-07-2020 to 31-12-2020,,,,49.3%,,49.3%
Call Assist Ltd,CALL ASSIST LIMITED,no,01-05-2020 to 31-10-2020,,,,53.0%,,53.0%
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,01-07-2020 to 31-12-2020,75.0%,,,33.4%,,68.3%
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,no,01-07-2020 to 31-12-2020,,,,42.3%,,42.3%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,no,01-07-2020 to 31-12-2020,,,,62.0%,,62.0%
Cater Allen Limited,BANCO SANTANDER SA,no,01-07-2020 to 31-12-2020,29.4%,,,,,29.4%
Caversham Insurance Limited,NO GROUP,no,16-04-2020 to 15-10-2020,,,,65.8%,,65.8%
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,01-07-2020 to 31-12-2020,73.4%,,59.6%,,,64.0%
Chubb European Group SE,CHUBB LIMITED,no,01-07-2020 to 31-12-2020,,,,38.0%,,38.0%
Citibank UK Limited,CITIGROUP INC,no,01-07-2020 to 31-12-2020,78.3%,,,100.0%,75.9%,78.1%
ClearBank Limited,NO GROUP,no,01-07-2020 to 31-12-2020,85.9%,,,,,85.9%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,01-02-2020 to 31-07-2020,27.8%,,,64.9%,,41.6%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,01-04-2020 to 30-09-2020,43.8%,78.6%,53.8%,2.3%,54.5%,19.8%
Cofunds Limited,COFUNDS - AEGON UK - AEGON GROUP (NV),no,01-07-2020 to 31-12-2020,,69.0%,,,64.4%,64.8%
Collinson Insurance Services Limited,PARMINDER LIMITED,no,01-05-2020 to 31-10-2020,,,,54.9%,,54.9%
Compare The Market Limited,BGL GROUP,no,01-07-2020 to 31-12-2020,,,,84.3%,,84.3%
Connells Limited,SKIPTON BUILDING SOCIETY,no,01-07-2020 to 31-12-2020,,,93.7%,95.2%,100.0%,93.9%
Corgi Homeplan Ltd,US BANCORP,no,01-07-2020 to 31-12-2020,,,,62.0%,,62.0%
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,no,01-07-2020 to 31-12-2020,54.6%,83.3%,68.8%,57.7%,65.7%,56.5%
Covea Insurance plc,COVEA COOPERATIONS SA,yes,01-07-2020 to 31-12-2020,,,,59.9%,,59.9%
Coventry Building Society,COVENTRY BUILDING SOCIETY,no,01-07-2020 to 31-12-2020,24.6%,,46.3%,89.5%,,28.9%
Creation Consumer Finance Ltd,BNP PARIBAS SA,no,01-07-2020 to 31-12-2020,87.4%,,,28.6%,,87.2%
Creation Financial Services Limited,BNP PARIBAS SA,no,01-07-2020 to 31-12-2020,82.9%,,,53.4%,,79.2%
Curtis Banks Limited,CURTIS BANKS GROUP,no,01-07-2020 to 31-12-2020,,45.4%,,,,45.4%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,01-07-2020 to 31-12-2020,58.5%,,61.1%,,,58.5%
DAS Legal Expenses Insurance Company Limited,NO GROUP,no,01-07-2020 to 31-12-2020,,,,70.9%,,70.9%
Devitt Insurance Services Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,,26.4%,,26.4%
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,01-04-2020 to 30-09-2020,,,,72.6%,,72.6%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,01-04-2020 to 30-09-2020,,,75.9%,,,75.9%
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,01-07-2020 to 31-12-2020,,87.0%,,,68.7%,69.5%
ERGO TRAVEL INSURANCE SERVICES LTD,MUNICH RE GROUP,no,01-07-2020 to 31-12-2020,,,,80.6%,,80.6%
esure Insurance Limited,ESURE GROUP PLC,yes,01-07-2020 to 31-12-2020,,,,47.5%,,47.5%
EUI Limited,ADMIRAL GROUP PLC,yes,01-07-2020 to 31-12-2020,,,,50.5%,,50.5%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,01-07-2020 to 31-12-2020,,,,58.4%,,58.4%
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,01-07-2020 to 31-12-2020,,,,11.8%,,11.8%
Experian Limited,EXPERIAN PLC,no,01-04-2020 to 30-09-2020,,,,18.0%,,18.0%
Extracover Limited,NO GROUP,no,01-07-2020 to 31-12-2020,,,,30.0%,,30.0%
Fairmead Insurance Limited,ALLIANZ SE,no,01-07-2020 to 31-12-2020,,,,64.3%,,64.3%
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,01-07-2020 to 31-12-2020,84.8%,,,,82.0%,83.6%
FCE Bank Plc,FORD MOTOR CO,no,01-07-2020 to 31-12-2020,89.6%,,,,,89.6%
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,01-07-2020 to 31-12-2020,,94.6%,,,,94.6%
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,01-07-2020 to 31-12-2020,,65.6%,,,56.6%,59.4%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,01-07-2020 to 31-12-2020,,,,47.3%,,47.3%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,01-07-2020 to 31-12-2020,,,,95.4%,,95.4%
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,01-07-2020 to 31-12-2020,,51.9%,,78.6%,61.1%,61.5%
Fresh Insurance Services Group Limited,NO GROUP,no,01-07-2020 to 31-12-2020,,,,49.5%,,49.5%
Funding Circle Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,,,100.0%,100.0%
Gresham Insurance Company Limited,AVIVA PLC,no,01-07-2020 to 31-12-2020,,,,30.4%,,30.4%
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,01-07-2020 to 31-12-2020,,32.4%,,,26.7%,26.8%
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,no,01-07-2020 to 31-12-2020,90.0%,95.2%,,,91.6%,91.7%
Hastings Insurance Services Limited,HASTINGS GROUP HOLDINGS PLC,no,01-07-2020 to 31-12-2020,,,,52.3%,,52.3%
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,01-07-2020 to 31-12-2020,,,,,26.8%,26.8%
Highway Insurance Company Limited,ALLIANZ SE,no,01-07-2020 to 31-12-2020,,,,56.9%,,56.9%
Hiscox Insurance Company Limited,HISCOX INSURANCE HOLDINGS LIMITED,yes,01-07-2020 to 31-12-2020,,,,26.6%,,26.6%
Hitachi Capital (UK) PLC,HITACHI CAPITAL (UK) PLC,no,01-04-2020 to 30-09-2020,,,,0.0%,,0.0%
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,01-03-2020 to 31-08-2020,56.1%,,,,,56.1%
Homeserve Membership Limited,HOMESERVE PLC,no,01-04-2020 to 30-09-2020,,,,27.5%,,27.5%
Howserv Limited,STAYSURE HOLDINGS LTD,no,01-07-2020 to 31-12-2020,,,,86.4%,,86.4%
HSBC Bank Plc,HSBC HOLDINGS PLC,no,01-07-2020 to 31-12-2020,35.8%,,0.0%,10.3%,53.8%,38.3%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,01-07-2020 to 31-12-2020,33.1%,59.6%,56.0%,27.6%,65.3%,34.7%
I Go 4 Ltd.,NO GROUP,no,01-07-2020 to 31-12-2020,,,,38.9%,,38.9%
Ikano Bank AB (publ),NO GROUP,no,01-07-2020 to 31-12-2020,74.1%,,,95.2%,,74.8%
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED,no,01-07-2020 to 31-12-2020,,,,55.2%,,55.2%
Interactive Brokers (UK) Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,,,60.2%,60.2%
Interactive Investor Services Limited,ANTLER HOLDCO LIMITED,no,01-07-2020 to 31-12-2020,,55.5%,,,48.6%,48.9%
Invesco Fund Managers Limited,INVESCO LTD,no,01-07-2020 to 31-12-2020,,,,,78.6%,78.6%
Investec Bank PLC,INVESTEC PLC,no,01-04-2020 to 30-09-2020,13.6%,,0.0%,,57.5%,17.2%
Investment Funds Direct Limited,M&G GROUP,no,01-07-2020 to 31-12-2020,,64.0%,,,69.7%,66.6%
J D Williams & Company Limited,N BROWN GROUP PLC,no,01-03-2020 to 31-08-2020,,,,17.4%,,17.4%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,01-07-2020 to 31-12-2020,82.5%,,,,,82.5%
James Hay Administration Company Ltd,IFG GROUP LIMITED,no,01-07-2020 to 31-12-2020,,49.5%,,,,49.5%
Kensington Mortgage Company Limited,NO GROUP,no,01-04-2020 to 30-09-2020,,,68.2%,,,68.2%
Landmark Mortgages Limited,NO GROUP,no,01-07-2020 to 31-12-2020,,,85.9%,,,85.9%
LeasePlan UK Limited,INULA HOLDING UK LIMITED,no,01-07-2020 to 31-12-2020,,,,28.6%,,28.6%
Leeds Building Society,LEEDS BUILDING SOCIETY,no,01-07-2020 to 31-12-2020,12.7%,,30.8%,25.0%,,23.2%
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC,no,01-07-2020 to 31-12-2020,,,99.6%,93.1%,,99.5%
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,01-07-2020 to 31-12-2020,,74.0%,,34.1%,80.0%,45.4%
Legal Insurance Management Ltd,NO GROUP,no,01-02-2020 to 31-07-2020,,,,49.1%,,49.1%
Legal Insurance Management Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,,55.1%,,55.1%
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,01-07-2020 to 31-12-2020,,64.0%,,55.4%,66.1%,58.7%
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,01-07-2020 to 31-12-2020,,,,57.4%,,57.4%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,01-07-2020 to 31-12-2020,,,,71.2%,,71.2%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,01-07-2020 to 31-12-2020,38.4%,73.4%,32.3%,9.8%,86.4%,24.5%
London and Country Mortgages Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,83.2%,52.3%,,82.0%
London General Insurance Company Limited,TWG EUROPE LIMITED,yes,01-07-2020 to 31-12-2020,,,,78.6%,,78.6%
M & G Securities Limited,PRUDENTIAL PLC,no,01-07-2020 to 31-12-2020,,,,,65.7%,65.7%
Markerstudy Insurance Services Limited,MARKERSTUDY (INTERNATIONAL) LIMITED,no,01-07-2020 to 31-12-2020,,,,79.9%,,79.9%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,01-07-2020 to 31-12-2020,19.0%,,93.1%,76.2%,,24.8%
MBNA Limited,LLOYDS BANKING GROUP PLC,no,01-07-2020 to 31-12-2020,32.0%,,,4.3%,,7.9%
MCE Insurance Limited,MCE INSURANCE LIMITED,no,01-07-2020 to 31-12-2020,,,,27.7%,,27.7%
Mercedes-Benz Financial Services UK Limited,DAIMLER AG,no,01-07-2020 to 31-12-2020,,,,0.0%,,0.0%
Metro Bank PLC,METRO BANK PLC,no,01-07-2020 to 31-12-2020,48.7%,,62.5%,,,49.2%
Monzo Bank Ltd,MONZO BANK LIMITED,no,01-03-2020 to 31-08-2020,46.1%,,,50.0%,,46.1%
Moorcroft Debt Recovery Limited,NO GROUP,no,01-02-2020 to 31-07-2020,75.5%,,,,,75.5%
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,01-07-2020 to 31-12-2020,31.9%,,,,,31.9%
MotoNovo Finance Limited,FIRSTRAND LIMITED,no,01-07-2020 to 31-12-2020,,,,79.8%,,79.8%
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,no,01-04-2020 to 30-09-2020,,,,85.9%,,85.9%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,01-07-2020 to 31-12-2020,47.9%,66.7%,61.3%,14.2%,69.5%,40.6%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,05-04-2020 to 04-10-2020,59.4%,75.0%,74.1%,7.8%,83.1%,58.7%
Next Risk Solutions Limited,NO GROUP,no,01-04-2020 to 30-09-2020,,,,42.2%,,42.2%
Northern Bank Limited,DANSKE BANK A/S,no,01-07-2020 to 31-12-2020,37.8%,,69.4%,96.0%,100.0%,41.1%
NRAM Limited,UK ASSET RESOLUTION LIMITED,no,01-04-2020 to 30-09-2020,,,87.1%,8.8%,6.5%,13.2%
Old Mutual Wealth Life & Pensions Limited,QUILTER PLC,no,01-07-2020 to 31-12-2020,,85.9%,,,95.1%,87.4%
Old Mutual Wealth Limited,QUILTER PLC,no,01-07-2020 to 31-12-2020,,,,,87.8%,87.8%
One Call Insurance Services Limited,NO GROUP,no,01-07-2020 to 31-12-2020,,,,28.3%,,28.3%
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,01-07-2020 to 31-12-2020,38.7%,,65.6%,,,51.2%
OVO (S) HOME SERVICES LIMITED,SSE PLC,no,01-04-2020 to 30-09-2020,,,,54.0%,,54.0%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,01-04-2020 to 30-09-2020,77.6%,,64.9%,60.2%,,69.8%
Pet Protect Ltd,PET HEALTH INC.,no,01-07-2020 to 31-12-2020,,,,61.5%,,61.5%
Phoenix Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,01-07-2020 to 31-12-2020,,51.7%,100.0%,55.2%,48.6%,52.2%
Phoenix Life Limited,PHOENIX GROUP HOLDINGS PLC,no,01-07-2020 to 31-12-2020,,50.7%,83.3%,44.1%,53.3%,48.2%
Pinnacle Insurance Plc,BNP PARIBAS SA,no,01-07-2020 to 31-12-2020,,,,58.0%,,58.0%
Post Office Management Services Limited,POST OFFICE LIMITED,no,01-04-2020 to 30-09-2020,,,,68.7%,,68.7%
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,01-07-2020 to 31-12-2020,41.6%,,53.7%,55.0%,66.7%,47.2%
PSA Finance UK Limited,PSA FINANCE UK LIMITED,no,01-07-2020 to 31-12-2020,,,,84.6%,,84.6%
QBE UK Limited,QBE INSURANCE GROUP LTD,no,01-07-2020 to 31-12-2020,,,,76.0%,,76.0%
Qmetric Group Limited,R&H TRUST CO LTD,no,01-04-2020 to 30-09-2020,,,,53.1%,,53.1%
